major,major_summary
코디네이션과,"패션에 관한 이론과 실습이 병행된 전문적인 지식과 감각, 실질적인 기술 및 응용력을 습득하게 하여 패션 산업의 세분화, 전문화, 국제화 시대의 패션 전문인으로서 미래를 주도할 수 있는 유능한 패션 전문인을 양성합니다. 코디네이션과는 실무 능력을 집중 배양하며, 패션 산업의 발전에 기여하는 국제적 감각을 갖춘 패션 전문인 양성을 교육목표로 합니다."
메카트로닉스공학과,"다양한 제품의 대량 생산을 위해서는 산업용 자동화 설비나 로봇이 필요합니다. 메카트로닉스공학과는 기계의 메카닉과 전자의 일렉트로닉스의 합성어로 기계공학과 전자공학기술을 배우는 학과를 뜻합니다. 기계, 전기, 전자, 통신, IT, 컴퓨터, 정보, 제어공학 등 공학지식을 융합하여 자동화된 시스템을 개발하거나 운용하는 전문가를 양성하는데 교육목표를 두고 있는 학과입니다.  "
모델과,"오늘날 모델이란, 커뮤니케이션을 연기예술로 승화시키는 산업예술 전문가입니다. 따라서 모델과에서는 각종 훈련을 통하여 개성과 재능을 향상시키며, 신체이미지를 자유롭게 창조할 수 있는 실기 능력을 기를 뿐 아니라 이론적 탐구를 통해 풍부한 상상력과 지적 능력을 고양시키고자 합니다. 궁극적으로는 이론과 실기능력을 겸비한 전문 모델로서의 자질을 함양시켜 산업예술의 생산 활동을 수행할 전문 인력 양성을 목표로 합니다. "
미디어영상학과,"
미디어와 영상은 최근 가장 각광을 받는 분야입니다. TV, 영화, 광고, 인터넷 등 미디어 산업의 기획, 연출, 무대/영상 관련 스텝(디자이너, 촬영, 편집)을 양성하는 전공이 있습니다. 미디어영상학과는 변화하는 미디어에 대한 이해를 바탕으로 영화, 방송, 영상 그래픽, 촬영 및 편집과 같이 미디어영상과 관련된 이론 및 실무를 배웁니다. 영상매체의 이론 및 실기를 훈련하여 다양한 영상 콘텐츠를 개발ㆍ제작할 전문인을 양성합니다.
                                                                                          "
미술학과,"미술은 미적 세계를 창조함으로써 또한 생활 공간을 예술화함으로써 삶의 질을 윤택하게 합니다. 미술학과는 미술 전반에 관한 새롭고 심오한 이론과 실기를 배웁니다. 또, 미술학과는 이러한 교육을 통해 지성과 창조 능력을 갖추어 사회에 공헌하는 전문 미술인, 미술 교육인을 배출합니다."
문화재보존학과,"문화재보존학은 과거의 역사와 문화를 현재의 과학기술에 접목하여 현재의 문화유산을 올바르게 보존하고 이를 기초로 미래의 참된 문화유산 전통을 계승하는 분야입니다. 문화재보존학과는 박물관이나 개인이 소장하고 있는 유물의 보존처리는 물론, 급속한 개발로 인해 다량으로 출토되고 있는 매장문화재의 보존처리 방법을 연마하는 데 목적을 두고 있습니다."
물류시스템공학과,마트에 사람이 없어도 자동으로 계산이 되고 드론으로 택배를 배달하는 기술이 현실이 되었습니다. 물류시스템공학과는 하나의 제품이 생산되고 소비가 되기까지 물류를 경제적이고 빠르게 오고 갈수 있도록 하는 기술에 대해 배우는 학과입니다. 국내와 해외를 연결하는 복잡한 물류 문제를 해결하고 체계적으로 설계하는 전문가를 양성하는 것을 교육 목표로 두는 학과입니다. 
물리치료학과,"물리치료는 질병, 사고 혹은 선천적인 질환 등으로 일시적이거나 영구적인 장애를 갖게 된 환자나 운동선수, 산모, 아동, 환자 가족에 이르기까지 다양한 대상에 적용되고 있습니다. 물리치료학은 운동치료나 물리적인 요소들(물, 광선, 전기, 열 등)을 이용하여 손상된 기능을 회복시키고 장애를 최소화할 수 있도록 평가, 치료, 교육하는 의학의 한 전문영역입니다. 점차 전문화되어 가고 있는 국내외 의료계의 변화에 부응하여 보다 전문적이고 국제적인 물리치료사 양성에 교육 목표를 두고 있습니다."
작업치료과,"작업치료과에서는 신체적, 정신적으로 장애를 가진 사람들이 최적의 건강 상태를 유지하고 생산을 위한 기술을 습득하도록 하는 치료 방법을 배웁니다. 고령화인구와 선천적 장애아동이 늘어나고, 산업재해 및 교통사고 등으로 장애를 입은 사람들이 증가하고 있습니다. 작업치료과는 이러한 장애를 가진 사람들을 적절한 도구와 치료 방법을 이용하여 최대한 독립적 생활과 삶의 질을 향상시키도록 치료하는 전문인 양성을 교육목표로 합니다."
재활학과,"각종 사고 증가로 신체적ㆍ정신적 장애를 겪고 있는 사람들이 늘어나면서 재활학에 대한 관심도 높아지고 있습니다. 재활학과는 장애인의 재활 복지를 위한 학문적 연구와 더불어 효율적인 재활 프로그램을 개발할 수 있는 인재를 키웁니다. 재활학과에서는 신체적ㆍ정신적으로 장애가 있는 사람에게 그들이 속해 있는 사회에 적응하여 더 나은 삶을 영위할 수 있도록 그들의 신체적, 심리ㆍ사회적, 교육적 및 직업적 능력을 회복시키는 하는 방법을 배웁니다."
물리학과,뉴턴은 사과나무에서 떨어지는 사과를 보고 엄청난 과학적 법칙을 발견했습니다. 물리학은 우리 주위에서 일어나는 모든 자연 현상들의 법칙을 연구하는 학문입니다. 물리학과는 물리적 현상을 첨단 과학기술 산업의 어느 분야에서나 쉽게 적용할 수 있는 인재를 키우는 곳입니다. 물리학과에서는 자연계에서 일어나는 현상들을 관찰과 실험을 통하여 간결한 법칙들로 설명하는 방법에 대해 학습합니다.
지구환경과학과,"지구환경과학은 오래전 생성된 지구의 구성 물질과 과거에서부터 현재에 이르기까지 발생한 지구 환경 변화의 과정을 파악하고 이를 토대로 미래 환경 변화를 예측하는 학문입니다. 지구환경과학과는 지구대기의 물리.화학적 상태와 그 운동을 이해하는 대기과학, 지구물질과 에너지 순환 기원, 그리고 진화를 이해하는 지구시스템과학, 해양의 구성물질에서 물리적 순환과 자원을 이해하는 해양학을 아우르는 내용을 학습합니다. "
식품조리과,"식품조리는 식생활 수준의 향상과 식생활 양식의 변화에 따라 소비자의 욕구를 충족시키고 건전한 식생활 문화를 유도하여 조리ㆍ외식산업과 식품산업 전반에 이르기까지 다양한 분야에 적용되고 있습니다. 식품조리과는 국제화 시대에 발맞추어 식품영양, 조리, 제과제빵, 외식 분야, 식품가공 및 식품산업 등 식생활 전반의 질적 향상에 이바지하고 국민건강 증진에 기여합니다. 또한 소비자의 다양한 만족과 기호를 충족시킬 수 있는 현장 중심의 전문 식품조리 기술인을 양성하는 것에 교육목표를 두고 있습니다."
마케팅경영과,"마케팅경영과는 마케팅과 소비자 행동에 대한 전문지식을 활용하여 상품의 시장성, 소비자 취향, 잠재 구매 고객 등에 대해 조사하고 효율적인 판매 전략을 계획하고 실행할 수 있는 유능한 전문경영인을 양성합니다. 기업 경영에서 마케팅의 중요성이 특히 강조되고 있는 상황에서 마케팅경영과는 고객 지향적인 경영을 위해 전문 지식과 실무 능력을 갖춘 인재 양성을 교육 목표로 합니다."
식품가공과,"식품가공과에서는 식품가공 산업에 관련되는 제조기술을 통하여 생산관리 품질관리 및 유통관리업무에 관한 다양한 분야를 다루고 있습니다. 식품가공과는 건강 기능 식품, 음료, 제과제빵 및 외식조리에 관한 실습 위주의 교육을 통하여 외식조리업체와 식품전문회사에서 중추적 업무를 수행하는 식품전문가를 양성하는 것에 교육목표를 두고 있습니다."
식품공학과,"식품공학은 생물, 화학, 물리 등을 기초로 한 응용과학의 하나입니다. 식품의 효율적인 생산기술, 제품개발, 가공, 품질관리, 식품위생, 발효공정, 생물공학적 기법 등 식품생산에 관련된 기술개발 및 제조장비 등에 관한 기계적 기술론에 대해 연구합니다. 식품공학과는 오늘날의 사회가 요구하는 다양한 식품개발에 필요한 학문을 중심으로 하고 식품의 저장, 유통, 마케팅 등 식품과 관련된 폭넓은 학문과 기술에 대한 전문가 양성에 교육목표를 두고 있습니다. "
식품영양학과,"식품영양학은 바른 식생활의 확립을 통해 사람들의 건강 증진에 기여하는 학문입니다. 식품영양학과는 건강한 식품을 공급하여 국민보건 향상에 기여할 수 있는 전문 기술인을 양성하는 것을 교육 목표로 합니다. 학과 과정은 크게 식품학과 영양학으로 구분되며, 식품학은 식품의 생산부터 취급, 소비에 이르는 모든 단계를 연구하고, 영양학은 식품 소비시 인체에 일어나는 생리학적, 생화학적 현상을 연구합니다. "
벤처창업학과,벤처창업학과는 혁신적인 기술이나 경영 기법을 기반으로 새로운 기업을 설립하여 성공적으로 성장시키는 데 초점을 맞추고 있는 학문입니다. 벤처창업학과는 기업문화가 대기업 중심으로 많은 문제점을 양산시키고 있는 현 시점에서 중소기업과 벤처창업에 관련된 지식을 제공합니다. 이를 통해 기업 문제의 새로운 대안 체제를 모색하고 성공적으로 벤처를 창업하여 운영할 수 있는 전문가 양성에 교육 목표를 두고 있습니다.
방사선과,엑스선 사진으로 우리 몸의 뼈 모양을 본적이 있지요? 방사선과에서는 의료 팀의 일원으로 필요한 능력과 마음가짐을 갖춘 전문 인재를 키우고자 합니다. 방사선과는 첨단 의료장비를 이용하여 질병의 정확한 진단과 악성종양 치료를 위한 의료기술학 분야를 배우는 곳입니다
원자력공학과,"인류 문명이 지속적으로 발전하기 위해서는 석탄이나 석유와 같은 화석 에너지를 대체할 새로운 에너지원을 개발하는 일이 중요합니다. 원자력공학은 원자로의 핵반응으로 인해 얻게 되는 막대한 에너지를 활용하는 공학으로 공업, 농업, 의학, 원자력 발전 여러 분야에 접목되어 활용되는 학문입니다. 원자력공학과는 방사성 동위원소를 활용한 방사성공학 기술과 핵물질의 취급, 처리, 원자력 발전소 설계, 운전, 관리 및 안전성 평가등 원자력 분야에 관련된 고급 기술 인력 양성에 교육목표를 두고 있습니다."
방송영상과,"우리는 언제 어디서나 영상을 쉽게 접할 수 있죠? TV는 물론 컴퓨터와 스마트폰을 통하여 우리가 원하는 영상을 쉽게 접할 수 있습니다. 요즘은 1인 미디어에 대한 관심과 수요가 증가하면서 영상을 만드는 일에 대해서도 주목받고 있습니다. 방송영상과는 영상제작의 핵심 분야인 기획과 연출, 촬영, 편집, 시나리오, 진행 기법 등을 집중교육함으로써 영상제작 전문인을 양성합니다."
영상제작과,"영상제작과는 영상제작에 필수적으로 요구되는 각종 제작 기술과 기본 소양을 습득할 수 있는 학과입니다. 또한  영상 제작의 기본적 능력을 연마하기 위하여 영상제작의 기초 분야를 공통으로 교육합니다. 영상제작과는 프로그램의 제작과정인 영상제작의 기획, 연출 및 촬영에서 새로운 아이디어를 발굴하여 영상을 제작해 낼 수 있는 인재를 양성하는 것에 교육목표를 두고 있습니다."
러시아학과,"러시아학과는 지역학에 학문적 기반을 두고 러시아 지역연구의 학제간 및 비교연구를 통하여 국제관계 전문가로서의 자질을 기르고자 합니다. 그리고 통계에 따르면 학술 문헌어로서 가장 많이 이용되고 있는 언어는 영어이지만 그 다음으로는 러시아어 문헌입니다. 러시아학과는 러시아어 구사 능력과 더불어 각 지역학ㆍ문학에 관한 지식과 소양을 익히게 합니다. 이로써 21세기의 새로운 국제질서에 학문적, 실무적 체계를 익혀 능동적으로 참여할 수 있는 유능한 고급인력을 기르는 것에 교육 목표를 두고 있습니다."
아프리카어과,"아프리카어과는 아프리카 국가들의 민족정신과 역사적 형성 과정 등을 바로 알고, 근본적으로 사상과 문화, 정신세계 등을 표현하는 언어와 문학을 이해하는 데 주안점을 둡니다. 아프리카어과에서는 아프리카 언어를 배워 아프리카를 연구하는 기초를 마련합니다. 또한 다양한 접근 방법을 통해 아프리카에 관한 새로운 사실들을 알아 감으로써 아프리카를 올바른 시각으로 이해하도록 하는 데 교육 목표를 두고 있습니다."
게임콘텐츠과,"컴퓨터게임이나 모바일 게임을 해본 경험이 있죠? 게임은 간단히 조작할 수 있는 아케이드 게임부터 마치 소설 속을 들여다보듯 웅장한 세계관을 가진 RPG게임 등 다양합니다. 게임콘텐츠과는 컴퓨터게임제작의 다양한 분야 중 하나를 선택할 수 있도록 게임기획, 게임 프로그래밍, 게임 운영, 스마트폰 앱 개발 등의 과정과 더불어 소프트웨어 개발 방법론을 학습합니다. 이에 따라 게임콘텐츠과는 인터넷의 폭발적인 성장, 개인 이동통신 서비스의 일반화 등 새로운 기술 흐름을 통하여 첨단 문화산업으로서 게임 분야의 전문 인력 양성을 교육 목표로 합니다."
광학공학과,"동그란 안경, 네모난 안경. 여러 모양의 안경을 보면서 써보고 싶었던 적이 없나요? 요즘은 안경도 패션의 일부로 생각합니다. 광학공학과는 이러한 안경뿐만 아니라 빛을 생활과 산업에 이용한 공학분야로 카메라 렌즈, 스마트폰, 자동차, 디스플레이, 네트워크 광케이블 제조 분야 등에 활용되고 있습니다. 광학공학과는 전기, 통신, 기계, 물리, 컴퓨터, 반도체, 자동차 등의 폭넓은 분야의 관련 지식을 배워서 광전자, 광통신산업을 발전시킬 수 있는 인재를 양성하는데 목표를 두는 학과입니다."
생물학과,"유전자 분자 구조가 밝혀진 이래 현대 생물학은 눈부신 발전을 하였습니다. 생물학과는 세포학, 분류학, 발생학, 생리학 등을 기반으로 생명 현상을 탐구하며 그 원리에 대해서 자세히 공부합니다. 생물학과는 생물에 대한 기초 지식과 이론을 체계적으로 이해하고 자연 생태계와 생명 현상을 탐구하는 전문 인력을 기르는 곳입니다."
보건관리학과,보건소에 가 본 적 있나요? 보건소는 국민의 건강을 살피는 곳입니다. 보건학과는 국민의 건강 증진과 국가 및 지역사회의 보건 의료 발전에 중요한 역할을 담당할 인재를 키우고자 합니다. 보건학과에서는 국민의 건강을 지킬 수 있는 의학 및 행정 지식에 대해 공부합니다.
보건행정과,"보건행정은 보건의료 서비스에 대한 수요 증가와 의료기관의 전문화에 따라 다양한 분야에서 적용되고 있습니다. 보건행정과는 보건행정 및 의무기록에 관한 전문지식을 학습하도록 하여 의무기록관리업무, 의료정보관리업무, 의료보험수납ㆍ청구ㆍ심사 업무 등 보건 및 병원행정 업무를 효율적으로 처리할 수 있는 전문 기술인을 양성하는 것을 교육 목표로 두고 있습니다."
보건행정학과,"보건행정학은 국민에게 양질의 보건/의료서비스를 체계적으로 제공하기 위해 그 필요성이 날로 증대되고 있습니다. 앞으로의 사회는 정보화 사회와 지식기반 사회로의 진입이 필연적이므로 보건행정의 역할은 국민의 건강과 삶의 증진을 위해 반드시 필요합니다.
보건행정학과는 국가의 복지 증진과 국민의 건강유지 향상을 위하여 필요한 전문 지식을 탐구하며 건전하고 유능한 보건행정의 전문인력 양성에 교육 목표를 두고 있습니다."
비서행정과,"산업사회가 고도화 되면서 복잡하고 어려운 기업 경영에서 경영자의 일을 효율적으로 관리ㆍ보좌하는 비서의 역할은 매우 중요합니다. 비서행정과는 국제화, 전문화되어가는 현대사회에서 경영자의 업무ㆍ수행을 보좌하는 데 필요한 실제적인 교육과 실습을 제공합니다. 또한 사무 기술과 현장 실무 능력을 갖춘 전문 비서 및 사무ㆍ서비스 전문 인력을 양성합니다."
비서행정학과,"비서행정학은 산업사회가 고도화되면서 기업경영이 복잡 다양화되고 그만큼 경영관리의 활동 영역과 운영이 어려워지면서 한층 더 주목 받고 있습니다. 비서행정학과는 국제화, 정보화 사회에서 요구하는 고도의 종합 능력을 갖추도록 합니다. 경영ㆍ경제 전문 지식과 정보 관리 능력, 커뮤니케이션 능력을 갖춘 전문 직업인을 배양하는 데에 교육 목표를 두고 있습니다."
건강관리과,"우리가 살아가는 데에 많은 것들이 필요하지만, 가장 먼저 몸과 정신이 건강해야합니다. 건강관리과는 인간의 신체와 정신을 건강하게 관리할 수 있도록 체계적이고 과학적인 건강관리법을 제시하고 스트레스 관리 등 건강과 관련된 사항에 대하여 상담 및 교육할 수 있는 전문지도자를 양성하는데 목표를 두고 있습니다. 건강관리과는 건강과 관련한 사회적 문제를 해결하고 현대인들의 풍요롭고 안락한 복지증진에 기여할 수 있도록 의학, 기초과학, 운동과학, 건강증진, 노인학 등 다양한 교육과정과 연계하여 학습합니다. "
건강관리학과,"의학은 고도의 의학기술 발달에도 불구하고 건강에 있어 운동의 의학적 효과를 점점 더 중요시하고 있습니다. 건강관리학과는 이러한 의학적 입장에서 운동을 다룹니다. 건강관리학과에서는 성인질환의 예방과 치료, 건강과 체력증진, 재활 등 건강관리에 대한 과학적 지식을 학습합니다. 건강관리학과는 운동 프로그램 처방능력을 키우고 스트레스 관리와 합리적인 영양섭취 그리고 신체활동과 관련된 부상 등에 관해 상담 및 교육할 수 있는 지도자 양성에 교육목표를 두고 있습니다."
의무행정과,"보건의료의 세계는 점점 전문적으로 세밀하게 나눠지고 있습니다. 직접적인 진료와 치료 외에도 보건과 관련된 행정, 경영, 관리에 대한 전문 지식이 필요해진 것입니다. 의무행정과는 보건의료에 대한 다양한 지식과 실무 능력을 키움으로써 다양한 보건의료 기관에서 의료정보를 활용하고 행정 실무를 책임질 인력을 키우고자 합니다. 의무행정과에서는 기초 의학에 대한 지식을 바탕으로 의무 기록과 보건행정에 관한 기본 마인드를 배웁니다."
보석감정과,"주얼리는 개개인의 개성을 표출하고 이미지를 창출하는 데 중요한 요소 중 하나입니다. 보석감정과는 이러한 보석을 감별 및 감정하고, 디자인 및 유통거래와 관련된 분야입니다. 보석감정과는 보석감정 전문 교육을 기본으로 보석 및 귀금속의 가공과 유통에 관한 실무 능력을 길러서 딜러, 귀금속세공 디자인, 웨딩주얼리플래너 같은 전문 인력을 키웁니다. "
아동복지과,"아동복지학은 영유아 및 아동에게 건전한 성장과 발달뿐 아니라 그들의 잠재 능력을 발휘할 수 있도록 도움을 주는 창의적인 아동복지 실현을 위한 학문입니다. 아동복지과는 아동과 관련된 발달, 교육, 복지 등의 지식과 기술을 배우고 현장에서 적용해 봄으로써 아동복지 전문인을 양성하는 것에 교육목표를 두고 있습니다."
아동복지학과,"아동복지학은 아동이 건전하게 출생하여 행복하고 건강하게 자라도록 생활을 보장하기 위한 연구를 담당하는 학문입니다. 최근 보육에 관한 국가의 관심이 높아지면서 아동복지 분야는 사회복지 영역의 가장 중요한 한 부분으로 더욱 중요해지고 있습니다.
아동복지학과는 아동들이 건전하고 행복한 환경 속에서 정신적, 육체적으로 올바르게 성장하여 바람직한 사회인으로 성숙할 수 있도록 하는 이론과 실제에 관한 능력들을 기르게 합니다. 이를 통해 아동복지 영역에서의 이론과 실제에 능통한 전문가를 양성하는데 교육목표를 두고 있습니다."
아동학과,"아동학과는 아동의 발달 과정과 아동 교육의 이론에 관한 교육을 제공함으로써 영유아교육 및 보육, 발달, 상담 관련 전문인을 양성하는 것을 목적으로 하는 학과입니다. 영유아기, 아동기에 관한 폭넓은 지식을 쌓고 영유아 보육 및 교육, 발달, 상담 전문가로서 성장할 수 있도록 현장과 연계한 실습을 다양하게 경험하도록 하고 전공 관련분야의 전문인으로서의 능력과 자질을 갖추도록 합니다. 또, 아동의 건강한 생활을 보장하고 각종 아동 문제를 해결하기 위한 지식과 기술을 갖춘 아동복지 전문 인력을 양성합니다."
항공서비스과,국가 간 상품과 인적 교류가 더욱 증가함에 따라 항공 산업의 수요와 함께 항공 인력 수요도 크게 증가하였습니다. 항공서비스과는 항공 및 서비스 산업 분야에서 필요로 하는 전문적인 교육을 바탕으로 국제적 감각과 서비스 마인드가 투철한 서비스 인재 양성을 교육 목표로 합니다.
항공서비스학과,"항공서비스학과는 국내외 항공사, 공항, 호텔, 리조트, 외식업체 등 항공관광관련 산업분야에서 필요로 하는 전문인력을 양성하는 학문입니다. 항공서비스학과는 항공기 승무원으로서 전문 서비스 제공에 필요한 영어, 일본어, 중국어 등의 외국어 교육 및 서비스 이론과 현장 실습 교육으로 지성과 전문성을 겸비한 승무원을 양성함과 동시에 항공산업에 대한 전문성과 글로벌 마인드를 함양한 전문적 인재 양성을 교육목표로 하고 있습니다."
항공운항과,"항공운항과는 항공운송산업의 중심인 전문 항공기 조종사를 양성하는 학과입니다. 항공운항과는 항공산업에서 중추적인 역할을 담당하게 될 조종사 및 운항관리 인력 양성을 목적으로 비행기와 모의비행장치 등을 이용하여 체계적인 실무 교육과 훈련을 합니다. 운항 환경의 변화에 대처할 수 있는 창의력과 응용력을 기르도록 하며, 비행 원리를 비롯한 항공 관련 지식을 연구하고 항공기 운항을 실습합니다. "
항공운항학과,"우리 생활에서 항공기는 국내외 사람의 이동과 화물 수송을 위해 빠르면서도 안전한 수단으로 활용되고 있습니다. 항공운항학과에서는 항공 운송 산업의 중심인 전문 항공기 조종사를 양성합니다. 대기권 내외에서의 환경과 기상 조건을 이해하고, 항공기 운항과 관련된 현상을 논리적으로 해석하고, 운항에 적용합니다. 항공운항학과에서는 항공기의 운항 원리, 운항절차 및 운항 규정을 이해하고 개발합니다. 항공 산업과 관련된 실질적이고 다양한 전공과목의 교육을 통해 실무 능력을 겸비한 전문 조종사를 양성하는 것을 교육 목표로 합니다."
항공우주공학과,"영화에 나오는 멋진 비행기나 우주선을 보면서 직접 조종하고 싶은 꿈을 꾸어 본 적 있나요? 항공우주공학과는 헬리콥터, 비행기, 미사일, 발사체, 우주선, 인공위성 등을 만들고 운영하는 데 필요한 이론에 대해서 배우는 곳입니다. 항공우주공학과에서는 우리나라의 항공 우주 산업을 발전시킬 수 있는 우수한 인재를 양성하고 있습니다."
문헌정보학과,"지금은 ‘정보화 시대’ 입니다. ‘정보’는 우리가 공부를 하든, 여행을 하든, 일을 하든, 일상의 거의 모든 활동에 꼭 필요한 지식을 이루는 조각입니다. 문헌정보학과에서는 인간의 지적 활동에 필요한 정보 및 문헌의 속성을 이해하며, 이들을 효과적으로 수집하고 전달하기 위한 공부를 합니다. 문헌정보학과에 입학하면 정보를 효율적으로 활용할 줄 아는 정보 전문인력으로 성장하게 됩니다."
사진영상학과,"사진 한 장이 역사를 바꾼다는 말이 있습니다. 사진 한 장이 국민들의 여론을 바꿀 수 있고, 역사적 현장을 찍은 사진은 그 자체가 하나의 역사가 됩니다. 사진영상학과는 시각적 이미지에 대해 체계적으로 공부하고 보다 효과적이며 창조적인 시각적 표현 방법을 개발합니다. 사진영상학과는 다양한 시각매체 분야에서 활동할 전문 사진사와 촬영기사를 양성합니다. "
사진과,우리는 스마트폰을 통해 쉽게 사진을 찍을 수 있습니다. 사진을 통해 스스로를 표현하거나 자신의 생각을 전달할 수도 있습니다. 또한 사진은 산업사회에서의 홍보 및 광고의 도구에 이르기까지 다양한 분야에 적용되고 있습니다. 이에 따라 사진과는 예술성과 기술성을 함께 겸비하여 사진 및 영상의 이론과 실기를 조화롭게 배울 수 있도록 교육 목표를 두고 있습니다.
예술학과,"아름다움을 창조하고 표현하려는 다양한 인간의 활동이 예술입니다. 예술을 표현하는 소재와 수단, 형식 그리고 기법이 다양하여 연극, 음악, 무용, 영상 등 여러 가지 형태가 존재합니다. 예술학과는 이론과 실제를 통해 예술학의 기초 지식을 습득하게 합니다. 이를 통해 예술의 본질, 성립 조건, 기능 및 목적에 대하여 올바른 가치관을 확립하고 예술 분야에서 활약할 전문가들을 양성하는 데 교육목표를 두고 있습니다."
가족복지과,"가족복지과는 사회복지에 대한 새로운 관점에 맞게 가족의 기능을 강화하고 잠재력을 개발할 수 있는 전문 가족복지사를 배출합니다. 가족복지학은 이상적인 복지가 실현된 사회를 추구하며, 실천적 학문으로서 사회복지와 관련된 이론들을 습득하고 실습합니다. 복지에 접근하는 이론과 방법을 탐구하며, 아울러 실무능력을 갖춘 복지 전문가 배양을 교육목표로 합니다."
노인복지학과,"노인복지학과는 노년기에 발생하는 사회부적응의 문제와 미충족 욕구 등을 해결하기 위해 필요한 정책적 프로그램과 서비스를 개발하여 제공하는 데 관련된 문제 연구를 교육목표로 합니다. 노인복지학과는 노인들의 보건복지 서비스 문제에 효율적으로 대응하기 위한 전문적, 실천적 교육을 통해 노인복지 현장실무에 능통한 노인복지전문가 양성을 교육목표로 두고 있습니다. "
유아교육과,유아교육과는 조기교육 및 평생교육의 중요성이 고조되고 있는 시점에 올바른 미래지향적 교육관을 정립하고 풍부한 인성을 갖추게 하며 유아들에 대한 전문적인 지식과 이들의 성장과 발달 단계에 미치는 효과적인 교육방법을 연구합니다. 유아교육과는 유아교육 및 양육에 관한 전반적인 지식과 교양을 겸비한 유능하고 교육적 경쟁력을 갖춘 유아교사 양성에 교육목표를 두고 있습니다.
유아교육학과,"올바른 사회는 어린이들에게 참다운 교육을 실시함으로써 이루어질 수 있다.’고 합니다. 바람직한 유아교육을 위해서는 유아에 대한 이해가 필요합니다. 유아교육학과는 영ㆍ유아기 발달 과정을 이해하고 효과적인 유아교육을 위한 이론 및 실습을 제공합니다. 또, 건전한 인성을 바탕으로 유아의 특성에 맞는 교육을 개발ㆍ적용하는 전문 인력을 양성합니다."
청소년지도학과,청소년지도학과는 급격한 사회변동에 따라 심각하게 대두되고 있는 청소년 지도에 관한 연구와 그 학문적 기반 조성함으로써 청소년들을 올바르게 키울 수 있는 전문가를 영성하기 위한 학과입니다. 청소년지도학과는 미래의 주역이 될 청소년들을 건전하게 육성하기 위한 청소년 관련 정책을 수립하며 청소년 지도 프로그램을 개발 운영하는 전문가 양성을 교육목표로 하고 있습니다.
특수교육학과,"‘빛을 못 보는 사람보다 마음속에 빛을 갖고 있지 않은 사람이 더 불행합니다.’ 시각ㆍ청각 장애를 가졌던 헬렌 켈러를 바깥세상으로 이끌어 준 것은 설리번 선생님의 헌신적인 교육이었습니다. 특수교육학과는 신체적ㆍ정신적으로 불편한 학생들의 개별적인 욕구를 파악하여, 적절하고 효율적으로 교육 서비스를 제공하는 방법에 대해서 공부합니다. 특수교육학과는 특별한 학생들이 비장애인들과 더불어 살아갈 수 있도록 도와줄 수 있는 특수교육 전문가를 양성하는 곳입니다."
산업안전과,"산업안전과는 기계, 화공, 전기, 가스, 소방, 위험물, 안전 및 작업 환경에 대한 공학적 지식을 통해 전문 안전관리 능력을 기르는 학과입니다. 산업안전과에서는 산업 현장에서 산업재해 예방, 계획의 수립, 유해 및 위험 방지에 관한 사항과 건설재해 방지 및 계획 수립, 건설 작업의 위험에 따른 안전화, 안전모, 안전복 등의 착용과 안전장치 및 보호구의 점검 등 안전관리자가 갖추어야 하는 안전 전문 기술인 양성에 교육 목표를 두고 있습니다."
안전공학과,"경제가 발전하고 생활 수준이 높아지면서 각종 안전과 사고 예방에 관련된 관심이 높아지고 있습니다. 안전공학과는 여러 산업 활동 중에 발생 할 수 있는 화재, 사고, 보건, 위험요소를 과학적인 방법으로 위험의 원인을 찾고 미리 방지하는 방법에 대해 배우게 됩니다. 안전에 대한 과학적 이론을 기반으로 관련된 기술을 개발하고 설계하는 전문 인재를 양성하는 것에 교육 목표를 두고 있는 학과입니다. "
화학공업과,"화학적 원리나 변화를 응용하여 여러 가지 새로운 물질을 만들어 내는 공업을 화학공업이라고 하는데요. 화학공업과는 석유화학제품 및 정밀화학, 신소재화학 생산 공정 운전에 필요한 기술을 배울 수 있습니다. 더 나아가 화학공업과는 화학 및 관련 산업 분야에 대한 관심을 가지고 당면한 문제점들을 해결하려는 적극적인 사고와 도전 정신을 고취시키고, 산학협동 교육을 통한 실무교육을 실시함으로써 각 분야에서 탁월한 기술력을 갖춘 전문 인력을 양성하는 것을 목표로 합니다. "
환경공업과,"최근 산업이 고도화, 다양화, 전문화됨에 따라 환경 분야의 중요성이 더욱 커지고 있습니다. 환경공업과는 환경이 당면한 문제점들을 해결하기 위한 적극적인 사고와 도전 정신, 기술력을 갖춘 환경 전문 기술인을 양성하는 것을 목표로 합니다. 환경공업과에서는 지구를 안전하게 지키는 파수꾼으로서 사회에서 요구하는 다양한 환경 기술과 현장 실무 능력을 키우도록 합니다."
생명공학과,"생명공학은 인체를 포함한 동물, 식물 그리고 미생물 등의 세포 내에서 수행되는 생명체 활동의 기본 현상과 원리를 규명하고, 이를 인간에게 유익하게 응용하는 학문입니다. 생명공학과는 이론과 실험을 통한 생명공학 분야의 기술과 응용력 향상을 목표로 하며, 생명공학기술의 핵심 역할을 수행할 과학기술자 양성을 위한 학과입니다. "
생명과학과,"생명과학과는 지구상의 생명체를 연구 대상으로 하여 생명체의 구성 원리, 작동 원리, 생명 현상을 배우고 탐구하는 곳입니다. 생명과학 전반에 대한 기초지식과 이론을 학습하며 이를 응용할 수 있는 전문 인력 양성을 목표로 합니다. "
